name,datecreated,duration,genre
Harry Potter and the Sorcerer's Stone,2001,?,?
Harry Potter and the Chamber of Secrets,2002,?,?
Harry Potter and the Prisoner of Azkaban,2004,?,?
Harry Potter and the Goblet of Fire,2005,?,?
Harry Potter and the Order of the Phoenix,2007,?,?
Harry Potter and the Half-Blood Prince,2009,?,?
Harry Potter and the Deathly Hallows: Part 1,2010,?,?
Harry Potter and the Deathly Hallows: Part 2,2011,?,?
Darla's Book Club: Discussing the Harry Potter Series,2020,?,?
"Creating the World of Harry Potter, Part 4: Sound and Music",2010,?,?
The Seekers Guide to Harry Potter,2010,?,?
Harry Potter: A History of Magic,2017,?,?
Harry Potter and the Untold Stories of Hogwarts,2012,?,?
